Teal,凫蓝色
Thistle,蓟色
Tomato,番茄色
Turquoise,宝石绿
Violet,紫罗兰色
Wheat,小麦色
Salmon,肉色
Seashell,海贝色
Sienna,土黄赭色
Silver,银白色
Snow,雪白色
Tan,棕褐色
Orchid,淡紫色
Pink,粉红色
Plum,梅红色
Purple,紫色
Red,红色
Maroon,栗色
Moccasin,鹿皮色
Olive,橄榄色
Orange,橙色
Khaki,卡其色
Lavender,淡紫色
Linen,亚麻布色
Magenta,品红色
Gray,灰色
Green,绿色
Honeydew,蜂蜜色
Indigo,靛青色
Cyan,青色
Firebrick,火砖色
Gold,金色
Goldenrod,金麒麟色
Burlywood,实木色
Chartreuse,查特酒绿色
Chocolate,赭色
Coral,珊瑚色
Cornsilk,米绸色
Crimson,绯红
Aquamarine,蓝绿色
Azure,蔚蓝色
Beige,米黄色
Bisque,桔黄色
Black,黑色
Blue,蓝色


医院,

Wheelchair,轮椅
Syringe,注射器
X-Ray,X光
Painkiller,止疼药
Paramedic,护理人员
Patient,病人
Stretcher,担架
Prescription,处方
Stitches,缝线
Injection,注射
Laboratory,化验室
Operation,手术
Oxygen,氧气
Check-Up,体检
Ambulance,救护车
Capsule,胶囊
Microscope,显微镜
Nurse,护士
Doctor,医生
Gauze,纱布
Shipwreck,海难
Stretcher,担架

紧急情况,
Lifeguard,救生员
Ambulance,救护车
Accident,事故
Burglary,盗窃
Conflagration,火灾
Emergency,


游泳,

Lifeguard,救生员
Surfing,冲浪
Surfboard,冲浪板
Timekeeper,计时员
Bikini,比基尼
Backstroke,仰泳
Breaststroke,蛙泳
Shower,淋浴
Swimsuit,泳衣

交通工具,

Pedicab,三轮车
Trolley,电车
Ferry,渡轮
Raft,木筏
Horseback,骑马
Hitchhiking,搭车
Helicopter,直升机
SUV,运动型多用途车
Minivan,厢式旅行车
Moped,轻型摩托
Scooter,滑板车
Rollerblades,直排轮
Bicycle,自行车
Sedan,四门轿车
Plane,飞机
Taxi,出租车
Bus,公共汽车
Convertible,敞篷车
Subway,地铁
Train,火车
Rickshaw,人力车
Skateboard,滑板
Motorcycle,摩托车




,汽车零部件

Speedometer,车速表
Tire,轮胎
Trunk,后备箱
Windshield,挡风玻璃
Gearshift,换挡杆
Headlight,前灯
Mirror,镜子
Seat,座椅
Battery,电池
Brake,刹车
Car,汽车
Dashboard,仪表板
Engine,引擎

天气,

Cloudy,多云
Drought,干旱
Humid,潮湿
Dew,露水
Monsoon,季风
Temperature,温度
Rainstorm,暴风雨
Blizzard,暴风雪
Sandstorm,沙暴
Frost,霜
Sunny,阳光明媚
Clear,晴朗
Snow,雪
Fog,雾
Lightning,闪电
Hurricane,飓风
Tornado,龙卷风
Cyclone,旋风
Cold,冷
Warm,暖
Hot,热
Freezing,严寒
Hail,冰雹
Drizzle,小雨
Thunderstorm,雷雨
Typhoon,台风
Wind,大风
Rain,雨





婴儿,
Doll,娃娃
Block,积木
Rattle,拨浪鼓
Kindergarten,幼儿园
Diaper,尿布
Crib,婴儿床
Stroller,婴儿车
Toy,玩具
Mobile,悬吊玩具
Triplets,三胞胎
Twins,双胞胎
Baby,婴儿
Pacifier,奶嘴

饮料,

Liquor,酒精饮料
Whiskey,威士忌
Sake,清酒
Cocktail,鸡尾酒
Smoothie,沙冰
Brandy,白兰地
Wine,葡萄酒
Champagne,香槟
Coffee,咖啡
Espresso,浓咖啡
Caffelatte,拿铁咖啡
Cappuccino,卡布奇诺

cyclist,骑自行车者
cycling,自行车赛
freewheel,飞轮
handlebars,车把
bell,车铃
z,喇叭
saddle,车座
saddlebag,工具包
carrier,行李架
crossbar,大梁
dynamo,车尾灯
reflector,反光灯
spoke,轮辐，车条
rim,车圈



马术,

Steeplechase,障碍赛马
Dressage,盛装舞步
Equestrian,马术
Prance,腾跃
Gallop,飞跑
Arena,比赛场地
Rider,骑手
Saddle,马鞍
Stirrup,马镫
Rein,缰绳
Tail,马尾
Hoof,马蹄
Horseshoe,马蹄铁
Bridle,马勒
Mane,马鬃
Jodhpurs,马裤

高尔夫,


Backswing,上杆
Address,瞄球
Bunker,沙坑
Driver,一号木杆
Flag,旗
Golfer,高尔夫球手
Green,果岭
Grip,握杆
Hazard,障碍
Hole,球洞
Putt,推杆
Tee,球座
